producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,tmpfs-tmpfs,15,tmpfs,3,92479.634584023,92395.84409763639,83.79048638660818
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd-ssd,1,ssd,3,93790.22336097629,92106.04584668606,1684.177514290227
stage_in-fasterq-dump,0.5,fasterq-dump,1.0,ssd-ssd,15,ssd,3,94262.67488614762,92578.49737185739,1684.177514290227
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,4,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,5,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,8,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,40,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd,60,ssd,3,6.315837651383689e-06,0.0,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs-ssd,2,ssd,3,6.4302088469120884e-06,1.1437119552839902e-07,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,4,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,5,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,8,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,40,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs,60,tmpfs,3,6.460451435931252e-06,0.0,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs-tmpfs,2,tmpfs,3,6.583589679052984e-06,1.2313824312173204e-07,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd-ssd,2,ssd,3,8.726867399409586e-06,2.4110297480258974e-06,6.315837651383689e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs-tmpfs,2,tmpfs,3,8.827453700888772e-06,2.3670022649575196e-06,6.460451435931252e-06
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,4,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,5,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,8,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,40,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,beegfs,60,beegfs,3,1.8678461915745884e-05,0.0,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,tmpfs-beegfs,2,beegfs,3,1.8789376703309614e-05,1.109147875637311e-07,1.8678461915745884e-05
stage_in-bowtie2-samtools,0.5,bowtie2-samtools,2.0,ssd-beegfs,2,beegfs,3,1.888704434884605e-05,2.0858243310016637e-07,1.8678461915745884e-05
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,4,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,5,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,8,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,40,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs,60,83.79048638660818,83.79048638660818,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,4,264.4328200344907,264.4328200344907,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,5,264.4328200344907,264.4328200344907,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,8,264.4328200344907,264.4328200344907,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,40,264.4328200344907,264.4328200344907,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs,60,264.4328200344907,264.4328200344907,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,4,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,5,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,8,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,40,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd,60,1684.177514290227,1684.177514290227,0.0
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs-ssd,15,10697.25999056094,264.4328200344907,10432.82717052645
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs-beegfs,15,16691.25560516909,83.79048638660818,16607.465118782482
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs-tmpfs,15,18498.119389364132,264.4328200344907,18233.686569329642
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs-beegfs,1,42865.42711597671,83.79048638660818,42781.6366295901
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs-tmpfs,1,51905.66404465057,262.0391941601524,51643.624850490414
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,beegfs,3,beegfs-ssd,1,53150.530357836134,262.0391941601524,52888.49116367598
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd-beegfs,15,54479.56583321151,1684.177514290227,52795.38831892129
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd-beegfs,1,82082.53707948489,1684.177514290227,80398.35956519465
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs-tmpfs,1,92153.71581568972,83.79048638660818,92069.9253293031
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,tmpfs,3,tmpfs-tmpfs,15,92479.634584023,83.79048638660818,92395.84409763639
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd-ssd,1,93790.22336097629,1684.177514290227,92106.04584668606
fasterq-dump,1.0,stage_out-fasterq-dump,1.5,ssd,3,ssd-ssd,15,94262.67488614762,1684.177514290227,92578.49737185739
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,4,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,5,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,8,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,40,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd,60,6.315837651383689e-06,6.315837651383689e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,4,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,5,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,8,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,40,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs,60,6.460451435931252e-06,6.460451435931252e-06,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd-beegfs,2,6.524420084483855e-06,6.315837651383689e-06,2.0858243310016637e-07
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs-beegfs,2,6.5713662234949835e-06,6.460451435931252e-06,1.109147875637311e-07
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,ssd,3,ssd-ssd,2,8.726867399409586e-06,6.315837651383689e-06,2.4110297480258974e-06
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,tmpfs,3,tmpfs-tmpfs,2,8.827453700888772e-06,6.460451435931252e-06,2.3670022649575196e-06
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,4,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,5,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,8,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,40,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs,60,1.8678461915745884e-05,1.8678461915745884e-05,0.0
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs-ssd,2,1.8792833111274282e-05,1.8678461915745884e-05,1.1437119552839902e-07
bowtie2-samtools,2.0,stage_out-bowtie2-samtools,2.5,beegfs,3,beegfs-tmpfs,2,1.8801600158867615e-05,1.8678461915745884e-05,1.2313824312173204e-07
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,4,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,5,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,8,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,40,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd,60,ssd,3,6.999106519298423e-05,0.0,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,4,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,5,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,8,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,40,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs,60,tmpfs,3,7.159354608502472e-05,0.0,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,4,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,5,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,8,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,40,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs,60,beegfs,3,0.00020699350536556446,0.0,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs-ssd,10,ssd,3,0.000662163019554147,0.0005921719543611629,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs-ssd,15,ssd,3,0.0006623422917913977,0.0005923512265984135,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs-tmpfs,10,tmpfs,3,0.0008005952056543852,0.0007290016595693605,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,beegfs-tmpfs,15,tmpfs,3,0.0008043991754481671,0.0007328056293631423,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs-beegfs,10,beegfs,3,0.0011415711073399172,0.0009345776019743528,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs-beegfs,15,beegfs,3,0.0011681127367138043,0.0009611192313482398,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,ssd-beegfs,15,beegfs,3,0.002224297334441314,0.0020173038290757497,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,ssd-beegfs,10,beegfs,3,0.002232786604823283,0.0020257930994577187,0.00020699350536556446
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs-tmpfs,15,tmpfs,3,0.02692681003501149,0.026855216488926463,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,tmpfs-tmpfs,10,tmpfs,3,0.02693056958868928,0.026858976042604253,7.159354608502472e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd-ssd,10,ssd,3,0.027045692842409583,0.026975701777216598,6.999106519298423e-05
stage_in-tar-compress,3.5,tar-compress,4.0,ssd-ssd,15,ssd,3,0.027240104630541075,0.02717011356534809,6.999106519298423e-05
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,4,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,5,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,8,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,40,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd,60,6.999106519298423e-05,6.999106519298423e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,4,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,5,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,8,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,40,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs,60,7.159354608502472e-05,7.159354608502472e-05,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,4,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,5,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,8,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,40,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs,60,0.00020699350536556446,0.00020699350536556446,0.0
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs-ssd,10,0.0007991654597267273,0.00020699350536556446,0.0005921719543611629
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs-ssd,15,0.0007993447319639779,0.00020699350536556446,0.0005923512265984135
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs-tmpfs,10,0.0009359951649349249,0.00020699350536556446,0.0007290016595693605
tar-compress,4.0,stage_out-tar-compress,4.5,beegfs,3,beegfs-tmpfs,15,0.0009397991347287068,0.00020699350536556446,0.0007328056293631423
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs-beegfs,10,0.0010061711480593774,7.159354608502472e-05,0.0009345776019743528
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs-beegfs,15,0.0010327127774332645,7.159354608502472e-05,0.0009611192313482398
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd-beegfs,15,0.002087294894268734,6.999106519298423e-05,0.0020173038290757497
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd-beegfs,10,0.002095784164650703,6.999106519298423e-05,0.0020257930994577187
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs-tmpfs,15,0.02692681003501149,7.159354608502472e-05,0.026855216488926463
tar-compress,4.0,stage_out-tar-compress,4.5,tmpfs,3,tmpfs-tmpfs,10,0.02693056958868928,7.159354608502472e-05,0.026858976042604253
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd-ssd,10,0.027045692842409583,6.999106519298423e-05,0.026975701777216598
tar-compress,4.0,stage_out-tar-compress,4.5,ssd,3,ssd-ssd,15,0.027240104630541075,6.999106519298423e-05,0.02717011356534809
